song,closest_song,distance
Jump Then Fall (Taylor’s Version),...Ready For It?,0.41912697360108087
Superstar (Taylor’s Version),Getaway Car,0.44663055482689007
Message In A Bottle (Taylor's Version) (From The Vault),Forever Winter (Taylor's Version) (From The Vault),0.46762722805011797
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Cornelia Street,0.4819015207705829
Gorgeous,Out Of The Woods,0.5121010156745021
The Other Side Of The Door (Taylor’s Version),Mean,0.6204708292901437
Mine,Mine - POP Mix,0.8763666780523143
All Too Well (Taylor's Version),White Horse (Taylor’s Version),0.9344850672429237
Blank Space,All You Had To Do Was Stay,1.0408899848245434
Hey Stephen (Taylor’s Version),"Message In A Bottle (Taylor's Version) (From The Vault), Forever Winter (Taylor's Version) (From The Vault)",1.088922102087122
Stay Stay Stay (Taylor's Version),I Think He Knows,1.0904343871636661
"Jump Then Fall (Taylor’s Version), ...Ready For It?",End Game,1.0943374979694722
Begin Again (Taylor's Version),"no body, no crime (feat. HAIM)",1.1056084297797288
The Best Day (Taylor’s Version),Never Grow Up,1.140925190360876
Fifteen (Taylor’s Version),Style,1.1701526647835252
Dancing With Our Hands Tied,Ours,1.2644747210288552
"Fifteen (Taylor’s Version), Style",Invisible,1.3561759800863316
Change (Taylor’s Version),"Blank Space, All You Had To Do Was Stay",1.4037655753297984
How You Get The Girl,Dear John,1.513192613922665
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Haunted - Acoustic Version,1.5746258476222195
epiphany,New Year’s Day,1.5818804763963645
The Archer,"The Best Day (Taylor’s Version), Never Grow Up",1.585257479433549
long story short,London Boy,1.6243644999863793
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Back To December - Acoustic,1.6244532495581372
"Mine, Mine - POP Mix",The Very First Night (Taylor's Version) (From The Vault),1.65649753899139
Superman,Stay Beautiful,1.670373563010321
Starlight (Taylor's Version),Girl At Home (Taylor's Version),1.760862020844744
marjorie,seven,1.7708044107198835
"Hey Stephen (Taylor’s Version), Message In A Bottle (Taylor's Version) (From The Vault), Forever Winter (Taylor's Version) (From The Vault)",Welcome To New York,1.8119239645225935
We Are Never Ever Getting Back Together (Taylor's Version),Bad Blood,1.858967207892193
