duration_ms,explicit,external_urls,name,track_number,uri,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url
295413,False,{'spotify': 'https://open.spotify.com/track/5lFDIbYMcFHPPgzMcnPqSz'},State Of Grace (Taylor's Version),1,spotify:track:5lFDIbYMcFHPPgzMcnPqSz,Red (Taylor's Version),0.594,0.713,9,-5.314,1,0.0503,0.000328,0.0,0.114,0.328,129.958,https://api.spotify.com/v1/audio-analysis/5lFDIbYMcFHPPgzMcnPqSz
223093,False,{'spotify': 'https://open.spotify.com/track/78c485atQVK19038U2RUld'},Red (Taylor's Version),2,spotify:track:78c485atQVK19038U2RUld,Red (Taylor's Version),0.516,0.777,1,-4.908,0,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047,https://api.spotify.com/v1/audio-analysis/78c485atQVK19038U2RUld
242720,False,{'spotify': 'https://open.spotify.com/track/0YrMTMLpLq1UIkWgghNM6c'},Treacherous (Taylor's Version),3,spotify:track:0YrMTMLpLq1UIkWgghNM6c,Red (Taylor's Version),0.645,0.593,2,-6.506,1,0.0288,0.0344,0.000127,0.13,0.299,109.984,https://api.spotify.com/v1/audio-analysis/0YrMTMLpLq1UIkWgghNM6c
219760,False,{'spotify': 'https://open.spotify.com/track/6tNSmBKSjFV1366ASuULfZ'},I Knew You Were Trouble (Taylor's Version),4,spotify:track:6tNSmBKSjFV1366ASuULfZ,Red (Taylor's Version),0.584,0.557,6,-6.371,1,0.0342,0.0129,0.0,0.0576,0.767,154.008,https://api.spotify.com/v1/audio-analysis/6tNSmBKSjFV1366ASuULfZ
329160,False,{'spotify': 'https://open.spotify.com/track/1IBhYEvvi02tDVByxIiTh4'},All Too Well (Taylor's Version),5,spotify:track:1IBhYEvvi02tDVByxIiTh4,Red (Taylor's Version),0.44,0.528,0,-7.809,1,0.0317,0.0171,0.00203,0.234,0.132,185.972,https://api.spotify.com/v1/audio-analysis/1IBhYEvvi02tDVByxIiTh4
230960,False,{'spotify': 'https://open.spotify.com/track/2T9WeqSMJJb8YBDHPYGU4p'},22 (Taylor's Version),6,spotify:track:2T9WeqSMJJb8YBDHPYGU4p,Red (Taylor's Version),0.642,0.695,7,-5.62,1,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,https://api.spotify.com/v1/audio-analysis/2T9WeqSMJJb8YBDHPYGU4p
244586,False,{'spotify': 'https://open.spotify.com/track/6KcTkNLx1IKVDAdexl24kL'},I Almost Do (Taylor's Version),7,spotify:track:6KcTkNLx1IKVDAdexl24kL,Red (Taylor's Version),0.511,0.559,4,-6.587,1,0.0264,0.0167,0.0,0.113,0.248,145.88,https://api.spotify.com/v1/audio-analysis/6KcTkNLx1IKVDAdexl24kL
193146,False,{'spotify': 'https://open.spotify.com/track/31CdkzHnMbvJuKZvtCQfR6'},We Are Never Ever Getting Back Together (Taylor's Version),8,spotify:track:31CdkzHnMbvJuKZvtCQfR6,Red (Taylor's Version),0.567,0.686,7,-6.139,1,0.175,0.0317,1.86e-06,0.0732,0.716,172.014,https://api.spotify.com/v1/audio-analysis/31CdkzHnMbvJuKZvtCQfR6
205786,False,{'spotify': 'https://open.spotify.com/track/1ftFtW8S1621tu0MIQy0Sg'},Stay Stay Stay (Taylor's Version),9,spotify:track:1ftFtW8S1621tu0MIQy0Sg,Red (Taylor's Version),0.693,0.681,0,-7.039,1,0.025,0.0848,0.0,0.0768,0.663,100.02,https://api.spotify.com/v1/audio-analysis/1ftFtW8S1621tu0MIQy0Sg
299080,False,{'spotify': 'https://open.spotify.com/track/2eybKKDV7Naq9DhiUJpJSP'},The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),10,spotify:track:2eybKKDV7Naq9DhiUJpJSP,Red (Taylor's Version),0.502,0.534,2,-5.954,1,0.0278,0.0399,0.0,0.0977,0.155,94.05,https://api.spotify.com/v1/audio-analysis/2eybKKDV7Naq9DhiUJpJSP
