name,album,duration_min,explicit,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url
State Of Grace (Taylor's Version),Red (Taylor's Version),4.92,False,1,0.594,0.713,9,-5.314,1,0.0503,0.000328,0.0,0.114,0.328,129.958,https://api.spotify.com/v1/audio-analysis/5lFDIbYMcFHPPgzMcnPqSz
Red (Taylor's Version),Red (Taylor's Version),3.72,False,2,0.516,0.777,1,-4.908,0,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047,https://api.spotify.com/v1/audio-analysis/78c485atQVK19038U2RUld
Treacherous (Taylor's Version),Red (Taylor's Version),4.05,False,3,0.645,0.593,2,-6.506,1,0.0288,0.0344,0.000127,0.13,0.299,109.984,https://api.spotify.com/v1/audio-analysis/0YrMTMLpLq1UIkWgghNM6c
I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),3.66,False,4,0.584,0.557,6,-6.371,1,0.0342,0.0129,0.0,0.0576,0.767,154.008,https://api.spotify.com/v1/audio-analysis/6tNSmBKSjFV1366ASuULfZ
All Too Well (Taylor's Version),Red (Taylor's Version),5.49,False,5,0.44,0.528,0,-7.809,1,0.0317,0.0171,0.00203,0.234,0.132,185.972,https://api.spotify.com/v1/audio-analysis/1IBhYEvvi02tDVByxIiTh4
22 (Taylor's Version),Red (Taylor's Version),3.85,False,6,0.642,0.695,7,-5.62,1,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,https://api.spotify.com/v1/audio-analysis/2T9WeqSMJJb8YBDHPYGU4p
I Almost Do (Taylor's Version),Red (Taylor's Version),4.08,False,7,0.511,0.559,4,-6.587,1,0.0264,0.0167,0.0,0.113,0.248,145.88,https://api.spotify.com/v1/audio-analysis/6KcTkNLx1IKVDAdexl24kL
We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),3.22,False,8,0.567,0.686,7,-6.139,1,0.175,0.0317,1.86e-06,0.0732,0.716,172.014,https://api.spotify.com/v1/audio-analysis/31CdkzHnMbvJuKZvtCQfR6
Stay Stay Stay (Taylor's Version),Red (Taylor's Version),3.43,False,9,0.693,0.681,0,-7.039,1,0.025,0.0848,0.0,0.0768,0.663,100.02,https://api.spotify.com/v1/audio-analysis/1ftFtW8S1621tu0MIQy0Sg
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),4.98,False,10,0.502,0.534,2,-5.954,1,0.0278,0.0399,0.0,0.0977,0.155,94.05,https://api.spotify.com/v1/audio-analysis/2eybKKDV7Naq9DhiUJpJSP
Holy Ground (Taylor's Version),Red (Taylor's Version),3.38,False,11,0.622,0.809,9,-5.623,1,0.0638,0.0288,0.00218,0.109,0.511,156.894,https://api.spotify.com/v1/audio-analysis/661CJWXysgwKXI1dreYNBU
Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),4.75,False,12,0.601,0.406,7,-11.827,1,0.0275,0.622,9.19e-05,0.133,0.232,130.059,https://api.spotify.com/v1/audio-analysis/21SralRv4ucDT3i1rYrr85
The Lucky One (Taylor's Version),Red (Taylor's Version),4.01,False,13,0.686,0.571,4,-7.138,1,0.05,0.066,0.0,0.0608,0.538,117.889,https://api.spotify.com/v1/audio-analysis/6Gr4KvawYKiZBHQWub9n7o
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),4.09,False,14,0.498,0.61,6,-5.098,1,0.0363,0.271,0.0,0.223,0.474,79.918,https://api.spotify.com/v1/audio-analysis/5uQQcvcXoCwKPK5sYvarzO
Starlight (Taylor's Version),Red (Taylor's Version),3.67,False,15,0.628,0.685,4,-5.864,1,0.0358,0.00324,0.0,0.18,0.605,126.014,https://api.spotify.com/v1/audio-analysis/2bspOurPlpKv27SVt7UbHy
Begin Again (Taylor's Version),Red (Taylor's Version),3.98,False,16,0.519,0.527,7,-7.673,1,0.0274,0.075,0.0,0.132,0.267,78.915,https://api.spotify.com/v1/audio-analysis/38TSM6TDx1fzs7JnioMQXe
The Moment I Knew (Taylor's Version),Red (Taylor's Version),4.75,False,17,0.636,0.402,7,-7.855,1,0.031,0.0494,0.0,0.107,0.208,125.952,https://api.spotify.com/v1/audio-analysis/19JrUNf5amGgM9Ui9kdkss
Come Back...Be Here (Taylor's Version),Red (Taylor's Version),3.72,False,18,0.46,0.632,4,-6.031,1,0.0302,0.0158,0.0,0.0822,0.399,79.846,https://api.spotify.com/v1/audio-analysis/5XaLWURooWKZiraOWSTWjm
Girl At Home (Taylor's Version),Red (Taylor's Version),3.68,False,19,0.691,0.736,5,-6.974,1,0.0326,0.00955,1.88e-05,0.101,0.612,125.089,https://api.spotify.com/v1/audio-analysis/6lJPTJCHgLQ4kr69SftElR
State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),5.36,False,20,0.445,0.131,7,-13.778,1,0.0564,0.663,1.57e-06,0.108,0.101,208.918,https://api.spotify.com/v1/audio-analysis/3CiOGu8nBPGfrJr4whAOZX
Ronan (Taylor's Version),Red (Taylor's Version),4.4,False,21,0.623,0.279,0,-10.802,1,0.031,0.661,0.0,0.193,0.38,116.04,https://api.spotify.com/v1/audio-analysis/0WE0h1qUWJBt97DtvuMWRN
Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),4.95,False,22,0.473,0.579,4,-5.824,1,0.0384,0.214,0.0,0.0877,0.255,73.942,https://api.spotify.com/v1/audio-analysis/1gWRnZ52AK1ZUvpjjTteKf
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),4.31,False,23,0.606,0.377,0,-9.455,1,0.0275,0.817,0.0,0.154,0.446,101.96,https://api.spotify.com/v1/audio-analysis/44V5YKYkMw9vVqnnYTMMIc
Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),3.74,False,24,0.584,0.743,4,-7.075,1,0.0931,0.0538,2.83e-06,0.121,0.746,167.844,https://api.spotify.com/v1/audio-analysis/1GWuUzSQzL9XSyOy7beCTj
Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),3.77,False,25,0.622,0.791,7,-6.106,1,0.0535,0.00188,3.72e-06,0.083,0.494,115.915,https://api.spotify.com/v1/audio-analysis/6PdCbJwSOeovMX7kfwiAxb
